front,back,category
"What is the function of the cell wall in plant cells?","It provides an additional layer of protection and support for the cell.",GED Study
"What is the main purpose of mitosis?","To replace body cells (like skin or muscle cells) with identical copies. It is a one-cell division process.",GED Study
"What is the main purpose of meiosis?","To create sex cells (sperm and egg) that have half the number of chromosomes and are genetically different.",GED Study
"How are mitosis and meiosis different in terms of how many daughter cells they make?","Mitosis produces 2 identical daughter cells, and Meiosis produces 4 genetically different daughter cells.",GED Study
"What is a map?","A picture or drawing that shows different places and features of an area.",GED Study
"What type of map shows natural features like mountains, rivers, and lakes?","A Physical map.",GED Study
"What type of map shows man-made features like countries, cities, and borders?","A Political map.",GED Study
"What map features are used to show distance and direction?","The scale (for distance) and the compass (for direction).",GED Study
"What type of map would you use to find the best route between two cities?","A Road map.",GED Study
"What is the main purpose of charts and graphs?","They are visual tools used to organize and display information clearly so you can easily compare and analyze data.",GED Study
"What is a pie chart?","A circular graph where each slice shows a fraction or proportionate part of the whole. All slices add up to 100%.",GED Study
"What is a bar graph?","A graphical representation of data using bars (or strips). They are used to compare different quantities of data in distinct categories.",GED Study
"What is a primary source?","An original material or firsthand information that comes directly from the time or event being studied (like a letter or photograph).",GED Study
"What is a secondary source?","Secondhand information created by someone who wasn't directly involved. These sources interpret or analyze primary sources (like a textbook or article).",GED Study
"Which is a primary source: a textbook or a letter written during the Civil War?","The letter. The textbook is a secondary source because it analyzes the event later.",GED Study
"Who were the original inhabitants of America?","The Native Americans.",GED Study
"What term describes American society being made up of different customs and heritage from many immigrant groups?","A multicultural tapestry.",GED Study
"About 600 years ago, what were European explorers looking for when they sailed west?","An easy route from Europe to Asia to trade for jewels, money, and spices.",GED Study
"What did European explorers discover instead of finding a new way to Asia?","The Americas, which they did not know existed.",GED Study
"What did Christopher Columbus mistake the Americas for when he landed there in 1492?","He mistakenly thought he had sailed to India (or Asia).",GED Study
"Why did Columbus call the Native American people ""Indians""?","Because he mistakenly believed he had landed in India.",GED Study
"Which explorer realized America was a new continent, and whose name was used to name the continents?","Amerigo Vespucci. North America and South America get their names from him.",GED Study
"What is a colony?","Land that is controlled by another country, especially one that is far away.",GED Study
"What was the first permanent European colony in what is now the U.S., founded by the Spanish in 1565?","St. Augustine.",GED Study
"What was the first permanent British colony in North America, started in 1607?","Jamestown (in Virginia).",GED Study
"What event helped the struggling Jamestown colony survive?","The marriage between the colony's leader, John Rolfe, and the Native American, Pocahontas.",GED Study
"What were the two main reasons European settlers came to the Americas?","For religious freedom (like the Pilgrims, who were persecuted for their beliefs).",GED Study
"What were the two main ways European settlers tragically impacted Native American populations?","They brought new diseases (which caused massive deaths) and warfare that led to death and forced removal from their lands.",GED Study
"What was the primary reason for the catastrophic loss of Native American life (up to 90%) after 1492?","European diseases (like smallpox) because Native Americans had no immunity to them.",GED Study
"How many colonies did the British govern along the eastern coast of North America?","Thirteen (13) colonies. The settlers were called colonists and laid the foundation for future economic growth. Old General map illustrating the Revolutionary War, United States Old General map illustrating the Revolutionary War, United States",GED Study
"What was the main reason the colonists were angry about British taxes?","They had to pay taxes without having any say in the laws (taxation without representation).",GED Study
"What famous 1773 protest involved colonists dumping over 90,000 pounds of tea into the harbor?","The Boston Tea Party.",GED Study
"What was the British government's response to the Boston Tea Party?","They passed more strict laws to punish the colonists.",GED Study
"What was the First Continental Congress?","A meeting in 1774 in Philadelphia where representatives from the colonies strategized about how to respond to the British.",GED Study
"What was the main outcome of the First Continental Congress?","The colonies began to form a sense of unity, and leaders started discussing the possibility of independence.",GED Study
"When and where did the American Revolution officially begin?","On April 19, 1775, with fighting between British soldiers and colonists at Lexington and Concord.",GED Study
"What famous phrase refers to the first shot fired in Lexington at the start of the American Revolution?","""The shot heard 'round the world.""",GED Study
"During the American Revolution, what did the colonists who fought against the British call themselves?","Patriots. (The British called them rebels.)",GED Study
"What were the colonists called who wanted the colonies to stay loyal to Britain?","Loyalists. They fought alongside the British soldiers.",GED Study
"When did the colonial leaders approve the Declaration of Independence?","July 4, 1776.",GED Study
"In this context, what does the term independence mean?","The condition of being a free country that is not controlled by another nation.",GED Study
"Who was the leader of the Patriot army during the War for Independence?","General George Washington.",GED Study
"Which major European nation joined the war in 1778 to help the Patriots fight the British?","France.",GED Study
"What was the last major battle of the war (1781), where the British army surrendered?","The Battle of Yorktown, Virginia.",GED Study
"What document, signed in 1783, formally ended the American Revolution and recognized the United States as an independent nation?","The Treaty of Paris.",GED Study
"What is the special district created for the new capital city of the United States?","The District of Columbia (D.C.).",GED Study
"What was the name people used for the new United States nation?","The Union.",GED Study
"What major land purchase did the U.S. make from France in 1803 that helped the nation grow westward?","The Louisiana Purchase. Antique map of US acquisition of territory (1899) Antique map of US acquisition of territory (1899)",GED Study
"What was the main issue that divided the North and South and led to the Civil War?","Slavery.",GED Study
"What is a Civil War?","A war where people within a country fight each other.",GED Study
"What name did the southern states use for their separate country during the Civil War?","The Confederate States of America.",GED Study
"What important announcement did President Lincoln issue in 1863 to free the slaves in the Southern states?","The Emancipation Proclamation.",GED Study
"When did the South surrender, officially ending the Civil War?","In 1865. Over 600,000 soldiers had died, and large parts of the country were in ruins.",GED Study
"What was the main historical challenge facing the country immediately after the Civil War ended?","Reconstruction—rebuilding the South and dealing with the anger over the end of slavery.",GED Study
"What was the Reconstruction period (1865–1877)?","The time after the Civil War dedicated to rebuilding the South and reuniting it with the North.",GED Study
"What were the Black Codes?","Laws passed in the South after the war that severely limited the rights of African Americans (such as preventing them from voting or owning guns).",GED Study
"What does segregation mean in the context of the post-Civil War South?","A system where white people forced the races to be separate in every possible way (in public places, schools, etc.).",GED Study
"What was the Progressive Era (1890–1920)?","A time when Americans worked to solve social problems, like poor living conditions and the lack of rights for women and the poor.",GED Study
"What did suffragists and women's groups work for during the Progressive Era?","To gain the right to vote and to achieve broad economic and political equality.",GED Study
"When did World War I (WWI) start and end?","It lasted from 1914 to 1918.",GED Study
"What nations formed the Central Powers alliance in World War I?","Germany, Austria-Hungary, and the Ottoman Empire.",GED Study
"What nations formed the early core of the Allies alliance in World War I?","France, Russia, and Britain.",GED Study
"Why did the United States enter World War I in 1917?","Because German submarines attacked several US ships.",GED Study
"What was the Treaty of Versailles (1919)?","The treaty that officially ended World War I, set new national borders, and forced Germany to pay for damages.",GED Study
"What new communist nation was formed from Russia after World War I?","The Soviet Union.",GED Study
"What is human biology?","The study of how human cells, organs, and systems work.",GED Study
"What is the basic hierarchical organization of the human body?","Cells combine to form tissues, tissues form organs, and organs form systems.",GED Study
"What is tissue in the human body?","A group of similar cells that work together to perform a specific job.",GED Study
"What is an organ?","A self-contained unit (like the heart or brain) made of different tissues that performs a specific function in the body.",GED Study
"What are the four main types of tissue in the human body?","Connective, Muscle, Nervous, and Epithelial tissue.",GED Study
"What is the main job of Epithelial tissue?","It covers organs and surfaces of the body, like your skin.",GED Study
"What is a system in the human body?","Two or more organs working together to do a specific function.",GED Study
"What is the main job of the skeletal system?","To support the body and allow for movement. It is made of 206 bones, tendons, ligaments, and cartilage.",GED Study
"What is the main job of the muscular system?","To allow for movement, and also provides strength, balance, posture, and heat. Human muscular system Human muscular system",GED Study
"What is an Orthopedist?","A doctor who specializes in the musculoskeletal system (bones and muscles).",GED Study
"What is the main job of the respiratory system?","To get oxygen to your tissues (when you inhale) and get rid of carbon dioxide (when you exhale). Human Respiratory System With Description Of The Corresponding Parts. Anatomical Vector Illustration Human Respiratory System With Description Of The Corresponding Parts. Anatomical Vector Illustration",GED Study
"What is a Pulmonologist?","A physician who specializes in the respiratory system (lungs).",GED Study
"What is the main job of the cardiovascular system?","To carry oxygen and nutrients around the body and remove waste, using blood and blood vessels.",GED Study
"What is the role of the heart in the cardiovascular system?","It drives the system by pumping blood first to the lungs (to pick up oxygen) and then throughout the body.",GED Study
"What is a Cardiologist?","A doctor who specializes in treating diseases of the heart and blood vessels.",GED Study
"What is the main function of the digestive system?","It breaks down food into nutrients (which the body uses for energy) and gets rid of waste.",GED Study
"What is the function of the Gastrointestinal (GI) tract?","It carries food through the body, sends nutrients to the bloodstream, and gets rid of waste.",GED Study
"What is a Gastroenterologist?","A doctor specializing in digestive problems that affect the stomach, intestines, liver, and related organs.",GED Study
"What is the main function of the urinary system?","It gets rid of unwanted materials and waste from your body.",GED Study
"What is a Urologist?","A doctor who specializes in disorders of the urinary system.",GED Study
"What is the main job of the endocrine system?","To send messages all over the body using hormones to control slow processes like growth, mood, and metabolism. Human endocrine system Human endocrine system",GED Study
"What are hormones?","Chemical messages used by the endocrine system to control various body functions (like mood and growth).",GED Study
"What is an Endocrinologist?","A medical doctor who specializes in diagnosing and treating health conditions related to the body's hormones and hormonal glands.",GED Study
"What is the main function of the nervous system?","To send signals back and forth between the brain (the control center) and the rest of the body to control actions.",GED Study
"What are the billions of nerve cells that send signals in the nervous system called?","Neurons.",GED Study
"What is a Neurologist?","A doctor who treats diseases of the brain and spinal cord, nerves, and muscles.",GED Study
"What is the function of the immune system?","It is a network of cells, tissues, and organs that protects the body by attacking bacteria, viruses, and other harmful invaders. Education Chart Of Biology For Immune System Diagram In Human Being. Vector Illustration. Education Chart Of Biology For Immune System Diagram In Human Being. Vector Illustration.",GED Study
"What is an Immunologist?","A doctor who specializes in disorders of the immune system.",GED Study
"What are the ten major systems responsible for the body's functions?","Skeletal, Muscular, Cardiovascular, Nervous, Endocrine, Lymphatic, Respiratory, Digestive, Urinary, and Reproductive.",GED Study
"Which four systems create the core infrastructure (framework and communication) that facilitates the other body systems?","The Skeletal, Muscular, Cardiovascular, and Nervous systems.",GED Study
"What is the function of the Lymphatic (Immune) system?","It regulates the body's defenses by using lymph nodes and vessels to send out healing agents like white blood cells to fight invaders.",GED Study
"What is the primary function of the Reproductive system?","It is responsible for creating life (reproduction). Organs differ between sexes (e.g., ovaries and testes).",GED Study
"What are the two main regulatory functions of the Urinary (Renal) System?","It maintains the body's electrolyte levels and filters wastes from the blood to be expelled as urine.",GED Study
"How long is the series of organs that make up the Digestive System?","Approximately 30 feet long, it converts food into fuel by absorbing nutrients and expelling solid waste.",GED Study
"What is the structure of DNA and where is it located?","It is a double helix (two twisted spiral ladders) located inside the cell's nucleus and holds the cell's instructions.",GED Study
"What is the role of RNA (Ribonucleic Acid)?","It acts as a messenger by carrying the DNA's ""recipe"" out of the nucleus to the ribosomes.",GED Study
"What organelle uses the RNA ""recipe"" to build proteins?","Ribosomes. The resulting proteins make the parts of the cell.",GED Study
"What is a gene?","A unique sequence of DNA that contains the specific ""recipe"" for making one kind of protein.",GED Study
"What are traits in biology?","Characteristics (like hair color or height) or tendencies (like weight gain) that people get from their genes.",GED Study
"What are chromosomes?","The structures where genes (strands of DNA) are stored. They contain hundreds or thousands of genes.",GED Study
"What is a genome?","A complete set of DNA for an organism.",GED Study
"How many chromosomes are in the human genome, and where do they come from?","There are 46 chromosomes (23 pairs). One set of 23 comes from the mother, and one set of 23 comes from the father.",GED Study
"Which parent determines the sex of the child?","The father. Females contribute an X chromosome, while males can contribute either an X or a Y chromosome.",GED Study
"What is Heredity?","The process by which children inherit traits (like hair color or height) from their parents through genes.",GED Study
"What is a dominant gene?","The stronger gene for a trait; the trait will be expressed even if only one copy is inherited (e.g., brown hair in the example).",GED Study
"What is a recessive gene (or allele)?","The weaker gene for a trait; the trait will only be expressed if two copies of the gene are inherited.",GED Study
"Who was the scientist who used an experiment with peas to show how heredity and dominant/recessive genes work?","Gregor Mendel.",GED Study
"In the pea experiment, what does it mean if a pea has one dominant gene (Y) and one recessive gene (G) (YG)?","The pea will display the trait of the dominant gene (e.g., it will be yellow).",GED Study
"Why were people confused about heredity before genetics was discovered?","They were confused about how a recessive trait (like a green pea) could appear when both parents displayed the dominant trait (yellow peas).",GED Study
"If a parent pea displays the dominant trait (like yellow, YG), can it still pass on the recessive gene (G)?","Yes. The recessive gene (allele) stays in the background, but can be passed on to the offspring.",GED Study
"What is a Punnett square?","A square diagram used to predict the possible genotypes (gene combinations) of offspring from a particular cross.",GED Study
"Who devised the Punnett square approach in 1905?","Reginald C. Punnett.",GED Study
"How do you determine the likelihood of a child having a dominant trait (like brown eyes, B) using a Punnett square?","Count the number of squares that contain at least one dominant gene (B). The trait will show up even if the other gene is recessive (Bb).",GED Study
"According to Mendelian genetics, how many recessive genes (alleles) must an offspring inherit to show the recessive trait (like blue eyes, bb)?","Two recessive genes (one from each parent).",GED Study
"What is a species?","A group of living things that are alike and can breed (reproduce) with each other.",GED Study
"What are the seven levels of biological classification from broadest to most specific?","Kingdom (Broadest)",GED Study
"What is a Kingdom?","The broadest category of life, including groups like plants, animals, fungi, and bacteria. Humans belong to the kingdom Animalia.",GED Study
"In biological classification, what is a Phylum?","A category based on the physical type of an animal. Humans are in the phylum Chordata.",GED Study
"What is the scientific name (Genus and Species) for humans?","Homo sapiens. Homo is the genus and sapiens is the species.",GED Study
"What is the definition of evolution?","The development or change of a species over time as traits are passed down from one generation to the next.",GED Study
"What causes traits to change slightly over many generations?","Cellular mutations—small changes in DNA that occur as it is passed down.",GED Study
"How do new species form according to the theory of evolution?","Over many years, traits mutate to become more biologically fit. Eventually, these changes can be so significant that one species becomes two different species.",GED Study
"What is Natural Selection?","The process where organisms with traits that help them survive better produce more offspring, causing those helpful traits to become more common in the species over time.",GED Study
"What does fitness mean in the context of evolution?","An organism's ability to survive and produce a high number of offspring (babies) to pass on its genes.",GED Study
"What is Artificial Selection?","When humans (such as farmers or breeders) choose which organisms reproduce based on desirable traits, like choosing the wheat plants with the largest seeds.",GED Study
"What is a mutation in DNA?","A small accident or error that occurs when DNA is copied incorrectly, which can sometimes lead to visible changes in an organism.",GED Study
"What is an adaptation?","A mutation that helps an organism be better suited to its environment. If it makes the organism more ""fit,"" natural selection will ensure the trait stays in the species.",GED Study
"What is speciation?","The evolutionary process where one species splits into two or more distinct species that can no longer breed with each other.",GED Study
"Using the Panama example, how does a physical barrier lead to speciation?","A barrier (like a strip of land) separates a population, forcing the two groups to adapt to different environments. Over millions of years, their DNA changes so much that they become different species.",GED Study
"What is the ultimate ""test"" to see if speciation has occurred?","If the two groups are reunited but are no longer able to breed (reproduce) with each other, they are officially considered separate species.",GED Study
"According to the theory of evolution, where did all living organisms come from?","A single common ancestor. Over billions of years, adaptation and speciation created the diversity we see today.",GED Study
"What is phylogeny?","The study of how living things evolved and the evolutionary relationships between different species.",GED Study
"In a phylogeny chart (evolutionary tree), what does each dot or junction represent?","A shared ancestor between different groups of organisms.",GED Study
"How do modern scientists determine how closely related two different species are?","By comparing their DNA. The more similar the DNA sequences are, the more recently the two species shared a common ancestor.",GED Study
"In a science context, what is a conclusion?","An opinion or statement formed by analyzing the facts and data provided. On the test, the ""right"" conclusion is the one most strongly supported by the evidence.",GED Study
"If a line graph shows that a specific trait (like white fur) is increasing in a population over many generations, what can you conclude?","That the trait likely provides a biological advantage, making those individuals more ""fit"" to survive and produce offspring.",GED Study
"What are the three steps to drawing a conclusion from a data set?","Read the context: Determine the scientific topic (e.g., evolution).",GED Study
"What five key areas do Ecologists study?","Diversity: Variety of life.",GED Study
"How do scientists organize the world in ecology (from largest to smallest)?","Biosphere: Everything on Earth and its atmosphere.",GED Study
"What is the difference between a Biome and an Ecosystem?","A Biome is a massive regional area defined by climate (like the Tundra or Tropical Rainforest), while an Ecosystem is a smaller, specific set of interactions between living and nonliving things in a location.",GED Study
"What is the difference between a Community and a Population?","A Population includes only one species (e.g., all the deer on a mountain), whereas a Community includes all living things in that area (deer, trees, birds, and insects).",GED Study
"How do you identify a specific biome on a distribution map?","By using the map key (legend) to match colors or patterns to the region. For example, if dark green represents ""Tropical Rainforest,"" you look for all dark green patches on the map (such as Central Africa or Northwestern South America).",GED Study
"What is a habitat?","The specific place where an organism lives that provides the climate, water, and resources it needs to survive.",GED Study
"In ecology, what are resources?","The essential things an organism needs to survive, including water, shelter, food (other organisms), and mates.",GED Study
"What is the difference between a predator and prey?","Predator: The organism that hunts and eats others.",GED Study
"What is competition in an ecosystem?","When two or more organisms struggle to obtain the same limited resource, such as food, water, or territory.",GED Study
"What is cooperation (mutualism) between species?","An interaction where both organisms benefit or ""win."" For example, cleaner fish get a meal by eating parasites off a large fish, while the large fish gets cleaned and stays healthy.",GED Study
"How does agriculture (farming) affect ecosystems?","Humans have converted over 40% of Earth’s land into farms. This changes natural ecosystems, often leaving less room and fewer resources for other organisms to survive.",GED Study
"How does human water usage impact other organisms?","By building dams and redirecting rivers to move water toward cities, humans reduce the amount of fresh water available for the plants and animals that naturally live in those habitats.",GED Study
"What are the effects of pollution on the environment?","Trash, chemicals, and pollutants enter land and water, directly harming organisms and disrupting the health of entire ecosystems.",GED Study
"What is the Greenhouse Effect?","Gases like carbon dioxide, nitrous oxide, and methane trap heat from the Sun in the Earth's atmosphere. While some heat trapping is natural, human activity has increased these gases, leading to global warming.",GED Study
"What are the primary consequences of climate change?","A warming planet leads to shifting climates, which can cause habitat loss and the extinction of species that cannot adapt quickly enough to the new conditions.",GED Study
"What are the two main parts of an ecosystem?","Biotic factors: Living organisms (plants, animals, microorganisms).",GED Study
"What are producers?","Organisms that make their own food/energy, usually from the Sun. Plants are the most common example.",GED Study
"What is photosynthesis?","The process by which producers (plants) use energy from the Sun to turn water and carbon dioxide into food.",GED Study
"What are consumers?","Organisms that cannot make their own food and must get energy by eating other organisms. Examples include rabbits (eating plants) and foxes (eating rabbits).",GED Study
"What is a food chain?","A direct, single path showing how energy moves from one organism to another (e.g., Plant → Rabbit → Fox). Food chain diagram concept Food chain diagram concept",GED Study
"What is a food web?","A complex network of interconnected food chains that shows all the various ways plants and animals in an ecosystem share energy.",GED Study
"How are food chains and food webs related?","A food web is made up of several overlapping food chains. It provides a more accurate and complete picture of how energy flows through an entire ecosystem.",GED Study
"What are ecosystem services?","Valuable benefits humans receive from nature’s interactions, such as clean water (from bacteria), pollination (from bees), and food (from oceans).",GED Study
"What is a keystone species?","A species that is crucial to the stability of an ecosystem. If it is removed, the entire system can collapse or change significantly.",GED Study
"Why is the American Beaver considered a keystone species?","Because they build dams that create wetland habitats, providing a home and water for many other species that wouldn't survive there otherwise.",GED Study
"What happens to an ecosystem when a keystone species disappears?","The balance is disrupted, leading to significant changes in plant and animal populations, often resulting in a less healthy or diverse environment.",GED Study
"How do tree roots provide an ecosystem service?","They anchor the ground to prevent soil erosion, which keeps the land stable and prevents dirt from clogging up waterways.",GED Study
"How did the reintroduction of wolves to Yellowstone affect the elk population?","The wolves acted as predators, which decreased the elk population and forced the remaining elk to hide in forests rather than grazing in open river valleys.",GED Study
"How did the change in elk behavior help the physical environment?","Because elk stopped over-grazing the river valleys, willow trees grew back. The roots of these trees stabilized the soil, which reduced erosion and kept the riverbanks strong.",GED Study
"How did the return of wolves indirectly help songbirds and beavers?","Songbirds: Found more habitat in the newly grown trees.",GED Study
"In the Yellowstone example, why are wolves classified as a keystone species?","Because their presence regulated the entire ecosystem. Without them, the elk over-grazed the land, leading to habitat loss for other animals and physical changes to the river system.",GED Study
"What two things does every organism need to grow and survive?","Matter and energy. Matter is the physical ""stuff"" (nutrients/water), and energy is the ""fuel"" that powers life processes.",GED Study
"What is periphyton and why is it important in the Everglades?","A ""slimy goo"" made of a mixture of algae. It is a primary producer that serves as the foundation for the Everglades food web.",GED Study
"Can you name the four levels of the Everglades food chain described?","Producer: Periphyton (Algae)",GED Study
"What is an Apex Predator?","An organism at the very top of the food chain with no natural predators, such as the American Alligator.",GED Study
"What is the 10% Rule in ecology?","Only about 10% of the energy from one level is passed on to the next. The other 90% is used for digestion, growth, or lost as heat. This is why food chains rarely have more than 4 or 5 links.",GED Study
"What is Geology?","The branch of Earth Science that deals with the Earth's physical structure, how it was formed, and how it changes over time.",GED Study
"What are the four main layers of the Earth, starting from the center?","Inner Core (Center)",GED Study
"What are the characteristics of the Inner Core?","It is located at the very center of the Earth, is solid, made of iron and nickel, and is extremely hot.",GED Study
"How does the Outer Core differ from the Inner Core?","While the Inner Core is solid, the Outer Core is made of liquid iron and nickel.",GED Study
"What is the Mantle?","The widest layer of the Earth, located between the core and the crust. it is made of hot, melted rock called magma.",GED Study
"What is the Earth's Crust?","The top, outside layer where we live. It consists of hard surface rocks and contains the world's mountains, deserts, and oceans.",GED Study
"What are tectonic plates?","Huge, separate pieces of the Earth's crust that fit together like a puzzle. They float on the hot magma of the mantle and move very slowly over time. Tectonic plate earth map. Continental ocean pacific, volcano lithosphere Tectonic plate earth map. Continental ocean pacific, volcano lithosphere",GED Study
"What is a Divergent boundary?","A place where two tectonic plates are moving away from each other.",GED Study
"What is a Convergent boundary?","A place where two tectonic plates move toward each other and meet. This often creates mountain ranges or deep ocean trenches.",GED Study
"What is a Transform boundary?","A place where two tectonic plates slide past each other horizontally. tectonic plate boundaries tectonic plate boundaries",GED Study
"Where does most seismic activity (earthquakes and volcanoes) occur?","At the boundaries (edges) where tectonic plates meet and interact.",GED Study
"The San Andreas Fault is an example of which type of boundary?","A transform boundary. It is where the Pacific Plate and the North American Plate slide past each other.",GED Study
"What occurs at divergent boundaries in the ocean?","Seafloor spreading. As plates move apart, new oceanic lithosphere (crust) is created.",GED Study
"What is a famous modern example of a divergent boundary?","The Mid-Atlantic Ridge.",GED Study
"At a convergent boundary, why does oceanic crust slide (subduct) beneath continental crust?","Because oceanic crust is denser than continental crust.",GED Study
"What two geological features are often formed by subduction at convergent boundaries?","Deep ocean trenches (like the Mariana Trench).",GED Study
"What distinguishes a transform boundary from the other two types?","At a transform boundary, tectonic plates slide past each other without creating new plate material or destroying old plate material. They are marked by faults and fractures.",GED Study
"What is Alfred Wegener’s Theory of Continental Drift?","The theory that Earth’s continents were once connected as a single landmass but eventually separated and drifted apart over millions of years.",GED Study
"How do fossils provide supporting evidence for Continental Drift?","Similar plant and animal fossils have been found on continents that are now separated by vast oceans (such as Africa and South America), suggesting those lands were once joined.",GED Study
"What geological evidence supports the theory that continents were once connected?","Similar rock formations and mountain ranges are found on distant continents, suggesting these structures were once a single whole before being divided.",GED Study
"What is the ""puzzle piece"" evidence for Continental Drift?","The observation that the coastlines of certain continents, such as Western Europe/Africa and North/South America, fit together very neatly.",GED Study
"What is the most important question to ask when identifying supporting evidence in a text?","""Does this specific information directly support the claim, theory, or prediction?"" Even if a statement is true (e.g., ""Earth is 4.6 billion years old""), it is only evidence if it helps prove the theory in question.",GED Study
"What are fossils?","Preserved pieces or imprints (like bones or footprints) of animals, plants, or other organisms from the distant past.",GED Study
"What have scientists learned from studying fossils?","Fossils show where and when different organisms lived, helping us understand life before humans and identify species that are now extinct.",GED Study
"In which type of rock are fossils most often found?","Sedimentary rocks. These are formed by layers of sand and mud that trap organisms before they can decompose.",GED Study
"What is a mineral?","A nonliving substance that occurs naturally on Earth. They are the building blocks that combine to make rocks and other substances.",GED Study
"What is an example of a common mineral found in the kitchen?","Salt (also known as Halite).",GED Study
"What does it mean to capitalize a word?","To make the first letter (or sometimes all letters) of a word into a capital letter (e.g., changing ""apple"" to ""Apple"").",GED Study
"What are the two common names for large and small letters?","Large letters (ABC): Capital letters or uppercase.",GED Study
"How do you typically produce an uppercase letter on a computer keyboard?","By holding down the Shift key while pressing the desired letter key.",GED Study
"What is a noun?","A word that names a person, place, object, or idea (e.g., dog, Montana, kindness).",GED Study
"What is the difference between a common noun and a proper noun?","Common Nouns: Name general things and are not capitalized (e.g., city, man, holiday).",GED Study
"What is a proper adjective?","An adjective derived from a proper noun that must be capitalized.",GED Study
"What are the rules for capitalizing pronouns like ""I,"" ""me,"" ""she,"" and ""we""?","Only the word ""I"" is capitalized when referring to yourself. Other pronouns like me, you, she, and we are lowercase unless they start a sentence.",GED Study
"How do you capitalize titles of people?","Capitalize a title only if it comes before a name.",GED Study
"Which time-related words are always proper nouns?","Days of the week (Wednesday) and Months of the year (November). (Note: Seasons like ""summer"" or ""fall"" are generally not capitalized.)",GED Study
"What is the atmosphere and why is it important?","It is the layer of gases surrounding Earth that supports life, regulates temperature, and protects the planet from harmful space elements.",GED Study
"What are the primary gases that make up the atmosphere?","78% Nitrogen (N 2 ​ ): The most abundant gas; helps balance other gases.",GED Study
"What are the five layers of the atmosphere, from lowest to highest?","Troposphere (Lowest)",GED Study
"What happens in the Troposphere and Stratosphere?","Troposphere: The layer where we live and where all weather occurs.",GED Study
"What are the unique features of the Mesosphere, Thermosphere, and Exosphere?","Mesosphere: The middle layer where meteors burn up upon entry.",GED Study
"How does the atmosphere regulate Earth's temperature?","Through the greenhouse effect, the atmosphere acts like a blanket, trapping heat from the Sun to prevent the planet from getting too cold at night.",GED Study
"What causes atmospheric (air) pressure?","The weight and movement of tiny molecules or particles in the atmosphere.",GED Study
"What is the general definition of pressure?","The weight of something pushing down.",GED Study
"How does the density of air molecules affect air pressure?","High Pressure: Occurs where air molecules are close together, making the air heavier.",GED Study
"How does air pressure change with altitude?","Air pressure decreases as you go higher in the atmosphere because the air molecules become more spread out and lighter.",GED Study
"What causes changes in the world's weather?","Changes are caused by shifting conditions in the lower atmosphere, such as fluctuations in temperature and air pressure. These lead to wind, rain, snow, and storms.",GED Study
"What is Meteorology and who are Meteorologists?","Meteorology: The branch of Earth science focused on the study of the atmosphere and weather patterns.",GED Study
"What tools do meteorologists use to forecast weather?","They monitor weather systems using satellite imagery, radar, and computer models.",GED Study
